496,0.003009513,0.4273539,0.2726773
497,0.003090744,0.4398206,0.2555143
498,0.003611221,0.452336,0.2390188
499,0.004491435,0.4650298,0.2231335
500,0.005652072,0.4780482,0.2078158
501,0.007035322,0.4915173,0.1930407
502,0.008669631,0.5054224,0.1788089
503,0.01060755,0.5197057,0.1651287
504,0.01290468,0.5343012,0.1520103
505,0.01561956,0.5491344,0.1394643
506,0.0188164,0.5641302,0.1275353
507,0.02256923,0.5792416,0.1163771
508,0.02694456,0.5944264,0.1061161
509,0.0319991,0.6096388,0.09682266
510,0.03778185,0.6248296,0.08852389
511,0.04430635,0.6399656,0.08118263
512,0.05146516,0.6550943,0.07463132
513,0.05912224,0.6702903,0.06870644
514,0.0671422,0.6856375,0.06327834
515,0.07538941,0.7012292,0.05824484
516,0.08376697,0.7171103,0.05353812
517,0.09233581,0.7330917,0.04914863
518,0.101194,0.7489041,0.04507511
519,0.1104362,0.764253,0.04131175
520,0.1201511,0.7788199,0.03784916
521,0.130396,0.792341,0.03467234
522,0.141131,0.804851,0.03175471
523,0.1522944,0.8164747,0.02907029
524,0.1638288,0.827352,0.02659651
525,0.1756832,0.8376358,0.02431375
526,0.1878114,0.8474653,0.02220677
527,0.2001621,0.8568868,0.02026852
528,0.2126822,0.8659242,0.01849246
529,0.2253199,0.8746041,0.01687084
530,0.2380254,0.8829552,0.01539505
531,0.2507787,0.8910274,0.0140545
532,0.2636778,0.8989495,0.01283354
533,0.2768607,0.9068753,0.01171754
534,0.2904792,0.9149652,0.01069415
535,0.3046991,0.9233858,0.009753
536,0.3196485,0.9322325,0.008886096
537,0.3352447,0.9412862,0.008089323
538,0.351329,0.9502378,0.007359131
539,0.3677148,0.9587647,0.006691736
540,0.3841856,0.9665325,0.006083223
541,0.4005312,0.9732504,0.005529423
542,0.4166669,0.9788415,0.005025504
543,0.432542,0.9832867,0.004566879
544,0.4481063,0.986572,0.004149405
545,0.4633109,0.9886887,0.003769336
546,0.478144,0.9897056,0.003423302
547,0.4927483,0.9899849,0.003108313
548,0.5073315,0.9899624,0.00282165
549,0.5221315,0.9900731,0.00256083
550,0.537417,0.99075,0.002323578
551,0.5534217,0.9922826,0.002107847
552,0.5701242,0.9943837,0.001911867
553,0.5874093,0.9966221,0.001734006
554,0.6051269,0.9985649,0.001572736
555,0.6230892,0.9997775,0.001426627
556,0.6410999,0.999944,0.001294325
557,0.6590659,0.99922,0.001174475
558,0.6769436,0.9978793,0.001065842
559,0.6947143,0.9961934,0.000967322
560,0.7123849,0.9944304,0.000877926
561,0.7299978,0.9927831,0.000796785
562,0.7476478,0.9911578,0.00072315
563,0.765425,0.9893925,0.00065635
564,0.7834009,0.9873288,0.000595768
565,0.8016277,0.9848127,0.000540839
566,0.8201041,0.9817253,0.000491044
567,0.8386843,0.9780714,0.000445905
568,0.8571936,0.973886,0.000404983
569,0.8754652,0.9692028,0.000367882
570,0.8933408,0.9640545,0.000334243
571,0.9106772,0.9584409,0.000303741
572,0.9273554,0.9522379,0.000276081
573,0.9432502,0.9452968,0.000250997
574,0.9582244,0.9374773,0.000228247
